A:	Alay
AKM:	Atatürk Kültür Merkezi
AKPM:	Avrupa Konseyi Parlamenterler Meclisi
AKUT:	Arama Kurtarma Teşkilatı
AKÜ:	Afyon Kocatepe Üniversitesi
ALADI:	bk. LABB
Alb.:	Albay
ALES:	Akademik Personel ve Lisanüstü Eğitimi Giriş Sınavı
Alm.:	Almanca
AMB:	1. Amerika Merkez Bankası 2. Avrupa Merkez Bankası
AMEX:	bk. AB (American Stock Exchange)
AMF:	bk. APF (Arab Monetary Fund)
AMK:	Amerikan Merkez Komutanlığı
ANAM:	Avrupa Nükleer Araştırma Merkezi
anat.:	Anatomi
ANAÜ:	Anadolu Üniversitesi
ANT:	Akaryakıt İkmal ve Nato Pol Tesisleri İşletme Başkanlığı
ant.:	Antropoloji
AO:	Anonim ortaklık
AOÇ:	Atatürk Orman Çiftliği
AÖB:	Avrupa Ödemeler Birliği
AÖF:	Açıköğretim Fakültesi
AP:	ABD Haber Ajansı (Associated Press)
APA:	Avrupa Para Anlaşması
APB:	Avrupa Para Birliği
APE:	Avrupa Para Enstitüsü
APEC:	bk. APİİB (Asia Pacific Economic Cooperation)
APF:	Arap Para Fonu
APİİB:	Asya Pasifik İktisadi İş Birliği
APÖ:	Avrupa Parlamenterler Örgütü
APS:	Acele Posta Servisi
Apt.:	Apartman, apartmanı
Ar.:	Arapça
AREL:	İstanbul Arel Üniversitesi
AR-GE:	Araştırma geliştirme
ark.:	Arkeoloji
Arş. Gör.:	Araştırma Görevlisi
As.:	Asker, askerî, askerlik
As. İz.:	Askerî İnzibat
ASAL:	Asker Alma Dairesi Başkanlığı
Asb.:	Astsubay
ASEAN:	bk. GAUT
ASELSAN:	Askerî Elektronik Sanayii
ASF:	Avrupa Sosyal Fonu
ASİGM:	Adli Sicil ve İstatistik Genel Müdürlüğü
ASK:	Avrupa Standartlar Komitesi
ASKİ:	Ankara Su ve Kanalizasyon İdaresi
ASO:	Ankara Sanayi Odası
AST:	Ankara Sanat Tiyatrosu
ASTB:	1. Amerika Serbest Ticaret Bölgesi 2. Avrupa Serbest Ticaret Birliği
astr.:	Astronomi
astrol.:	Astroloji
ASÜ:	Aksaray Üniversitesi
AŞ:	Anonim şirket
AŞTİ:	Ankara Şehirler Arası Terminal İşletmesi
AT:	Avrupa Topluluğu
ATAD:	Avrupa Toplulukları Adalet Divanı
ATAM:	Atatürk Araştırma Merkezi
ATATÜRK ÜNİ:	Atatürk Üniversitesi
ATB:	Asya Takas Birliği
Atğm.:	Asteğmen
ATK:	Adli Tıp Kurumu
atm.:	Atmosfer
ATO:	Ankara Ticaret Odası
ATÜ:	Atılım Üniversitesi
ATYGF:	Avrupa Tarımsal Yönlendirme ve Garanti Fonu
AUA:	Avrupa Uzay Ajansı
AÜ:	1. Ankara Üniversitesi 2. Ardahan Üniversitesi
Av.:	Avukat
AVM:	Alışveriş merkezi
AYB:	1. Avrupa Yayın Birliği 2. Avrupa Yatırım Bankası
AYİM:	Askerî Yüksek İdare Mahkemesi
AYM:	Anayasa Mahkemesi
B:	1. Batı 2. Bay
BADET:	Batı Afrika Devletleri Ekonomik Topluluğu
BAE:	Birleşik Arap Emirlikleri
bağ.:	Bağlaç
BAĞ-KUR:	Esnaf ve Sanatkârlar ve Diğer Bağımsız Çalışanlar Sosyal Sigortalar Kurumu
BAKB:	Batı Afrika Kalkınma Bankası
BASAGM:	Başbakanlık Aile ve Sosyal Araştırmalar Genel Müdürlüğü
BAT:	bk. TBB (The Banks Association of Turkey)
BATO:	Batı Afrika Takas Odası
BAÜ:	Balıkesir Üniversitesi
BAY ÜNİ:	Bayburt Üniversitesi
BBC:	İngiliz Radyo Televizyon Kurumu (British Broadcasting Corporation)
BCG:	Verem aşısı (Bacillus Calmette Guèrin)
Bçvş.:	Başçavuş
BD:	Bilim dalı
BDDK:	Bankacılık Düzenleme ve Denetleme Kurulu
BDT:	Bağımsız Devletler Topluluğu
BE:	Büyükelçi
BERD:	bk. AİKB (European Bank for Reconstruction and Development)
BEÜ:	Bitlis Eren Üniversitesi
BİB:	Bayındırlık ve İskân Bakanlığı
BİK:	Basın İlan Kurumu
BIS:	bk. UÖB (Bank for International Settlements)
bit. b.:	Bitki bilimi
biy.:	Biyoloji
bk.:	Bakınız
bl.:	Bilişim
Bl.:	Bölük
BM:	Birleşmiş Milletler
BMAEK:	Birleşmiş Milletler Avrupa Ekonomik Komisyonu
BMÇYT:	Birleşmiş Milletler Çocuklara Yardım Teşkilatı
BMEBKT:	Birleşmiş Milletler Eğitim, Bilim ve Kültür Teşkilatı
BMSKÖ:	Birleşmiş Milletler Sınai Kalkınma Örgütü
BMT:	Birleşmiş Milletler Teşkilatı
BMTKK:	Birleşmiş Milletler Ticaret ve Kalkınma Konferansı
BMYRİ:	Birleşmiş Milletler Yardım ve Rehabilitasyon İdaresi
Bn.:	Bayan
Bnb.:	Binbaşı
BOAD:	bk. BAKB
BOREN:	Ulusal Bor Araştırma Enstitüsü
bot.:	bk. bit. b.
BOTAŞ:	Boru Hatları ile Petrol Taşıma Anonim Şirketi
Böl.:	Bölüm
BRT:	Bartın Üniversitesi
bs.:	Baskı, basım
BSEC:	bk. KEİ (Black Sea Economic Cooperation Pact)
BSTDB:	bk. KTKB
Bşk.:	Başkan, başkanlık, başkanı, başkanlığı
BTF:	Başbakanlık Tanıtma Fonu Kurulu
BTK:	Bilgi Teknolojileri ve İletişim Kurumu
BTÜ:	Batman Üniversitesi
BUE:	bk. ABB (Bank of Union European)
Bul.:	Bulvar, bulvarı
Bulg.:	Bulgarca
BÜ:	1. Bahçeşehir Üniversitesi 2. Başkent Üniversitesi 3. Bilecik Üniversitesi 4. Bingöl Üniversitesi 5. Boğaziçi Üniversitesi 6.Bozok Üniversitesi
BÜMKO:	Bütçe ve Mali Kontrol Genel Müdürlüğü
BVÜ:	Bezmiâlem Vakıf Üniversitesi
BYEGM:	Basın-Yayın ve Enformasyon Genel Müdürlüğü
C:	Cilt
CACM:	bk. OAOP (Central American Common Market)
Cad.:	Cadde, caddesi
CAEC:	bk. AKPM (Consultative Assembly of European Council)
CAO:	bk. SHÖ (Civil Aviation Organization)
CARICOM:	bk. KTOP
CBÜ:	Celâl Bayar Üniversitesi
CC:	Konsolosluk birimi (Corps Consulaire)
CD:	1. Kordiplomatik (Corps Diplomatique) 2. bk. YD (Compact Disc)
CDB:	bk. KKB (Caribbean Development Bank)
CDH:	bk. AİHAD (Cour Europeenne des Droits de l’Homme)
CE:	bk. AK (Council of Europe)
CEAP:	bk. APİİB (Asia Pacific Economic Cooperation)
CECA:	bk. AKÇT (European Coal and Steel Community)
CEDH:	bk. AİHM (European Court of Human Rights)
CEE:	bk. AET (European Economic Community)
CEI:	bk. BDT (Commonwealth of Independent States)
CEN:	bk. ASK
CENTCOM:	bk. AMK
CENTO:	bk. MAÖ (Central Treaty Organization)
CERN:	bk. ANAM (Conseil européen pour la recherche nucléaire, European Organization for Nuclear Research)
CGS:	Uluslararası fizik birimleri sistemi
CIA:	bk. MHAT (Central Intelligence Agency)
CIF:	Maliyet-sigorta-navlun (cost, insurance, freight)
CİGM:	Ceza İşleri Genel Müdürlüğü
CIJ:	bk. UAD (International Court of Justice)
CIOS:	bk. UBOK (Conseil International pour l’Organisation Scientifique)
CIP:	1. Taşıma ve sigorta bedeli ödenmiş olarak teslim. 2.Ticaretle uğraşan önemli kişiler (Commercially Important Person)
CIS:	bk. BDT (Commonwealth of Independent States)
CJCE:	bk. ATAD (European Court of Justice)
cm:	Santimetre
CMEA:	bk. KEYK (Council for Mutual Economic Aid)
CMK:	Ceza Muhakemesi Kanunu
CMUK:	Ceza Muhakemeleri Usulü Kanunu
CNRS:	bk. UBAM (Centre National de la Recherche Scientifique)
coğ.:	Coğrafya
COMCEC:	bk. İSEDAK (Standing Committee for Economic and Commercial Cooperation of the Organization of the Islamic Conference)
COMECON:	bk. KEYK (Council for Mutual Economic Aid)
COMESA:	bk. GDAOP (Common Market For Eastern and Southern Africa)
cos:	Kosinüs
CSO:	Cumhurbaşkanlığı Senfoni Orkestrası
CTC:	bk. UŞM (Center on Transnational Corporations)
CTE:	Ceza ve Tevkifevleri Genel Müdürlüğü
Cum. Bşk.:	Cumhurbaşkanı, Cumhurbaşkanlığı
CÜ:	Cumhuriyet Üniversitesi
ÇAĞ ÜNİ:	Çağ Üniversitesi
ÇASGEM:	Çalışma ve Sosyal Güvenlik Eğitim ve Araştırma Merkezi
ÇAYKUR:	Çay İşletmeleri Genel Müdürlüğü
ÇED:	Çevresel Etki Değerlendirmesi ve Planlama Genel Müdürlüğü
çev.:	Çeviren
ÇGM:	Çalışma ve Sosyal Güvenlik Bakanlığı Çalışma Genel Müdürlüğü
ÇNÜ:	Çankırı Karatekin Üniversitesi
ÇOMÜ:	Çanakkale Onsekiz Mart Üniversitesi
ÇS:	Çimento Sanayisi
ÇSGB:	Çalışma ve Sosyal Güvenlik Bakanlığı
ÇUKOBİRLİK:	Çukurova Pamuk Tarım Satış Kooperatifleri Birliği
ÇÜ:	1. Çankaya Üniversitesi. 2. Çukurova Üniversitesi
Çvş.:	Çavuş
ÇYGM:	1. Çevre Yönetimi Genel Müdürlüğü 2. Çıraklık ve Yaygın Eğitim Genel Müdürlüğü
D:	Doğu
DAGM:	Devlet Arşivleri Genel Müdürlüğü
DAKB:	Doğu Afrika Kalkınma Bankası
dal:	Dekalitre
dam:	Dekametre
DAP:	Doğu Anadolu Projesi
DAT:	Doğu Afrika Topluluğu
DB:	Dünya Bankası
db.:	Dil bilgisi
DBAFİT:	Dünya Bankalar Arası Finansal İletişim Topluluğu
DDB:	Dernekler Dairesi Başkanlığı
DDT:	Böcek öldü­rücü (Dichloro-diphenol-trichloro-ethane)
DDY:	Devlet Deniz Yolları
DESİYAB:	Devlet Sanayi ve İşçi Yatırım Bankası
DEÜ:	Dokuz Eylül Üniversitesi
DFİF:	Destekleme ve Fiyat İstikrar Fonu
DFMHÖ:	Dünya Fikrî Mülkiyet Hakları Örgütü
dg:	Desigram
DGK:	Dünya Gıda Konseyi
DGM:	Devlet Güvenlik Mahkemesi
DGÖ:	Dünya Gümrük Örgütü
DGS:	Dikey Geçiş Sınavı
DHMİ:	Devlet Hava Meydanları İşletmesi
DİB:	Diyanet İşleri Başkanlığı
DİE:	Devlet İstatistik Enstitüsü
dil b.:	Dil bilimi
DİYİH:	Çalışma ve Sosyal Güvenlik Bakanlığı Dış İlişkiler ve Yurt Dışı İşçi Hizmetleri Genel Müdürlüğü
dk.:	Dakika
DKK:	Deniz Kuvvetleri Komutanlığı
DKMP:	Doğa Koruma ve Millî Parklar Genel Müdürlüğü
dl:	Desilitre
DLH:	Demiryollar Limanlar ve Hava Meydanları İnşaatı Genel Müdürlüğü
dm:	Desimetre
DMİ:	Devlet Meteoroloji İşleri Genel Müdürlüğü
DMO:	Devlet Malzeme Ofisi
DNA:	Deoksirübo nükleik asit
DOBGM:	Devlet Opera ve Balesi Genel Müdürlüğü
Doç.:	Doçent
doğ.:	Doğum tarihi
DOÜ:	Doğuş Üniversitesi
DÖGM:	Din Öğretimi Genel Müdürlüğü
DÖSİM:	Kültür ve Turizm Bakanlığı Döner Sermaye İşletmesi Merkez Müdürlüğü
DPB:	Devlet Planlama Başkanlığı
DPT:	Devlet Planlama Teşkilatı Müsteşarlığı
DPÜ:	Dumlupınar Üniversitesi
Dr.:	Doktor
drl.:	Derleyen
DSİ:	Devlet Su İşleri Genel Müdürlüğü
DSO:	Devlet Sanayi Ofisi
DSÖ:	Dünya Sağlık Örgütü
DT:	Devlet Tiyatroları Genel Müdürlüğü
DTCF:	Dil ve Tarih-Coğrafya Fakültesi
DTM:	Dış Ticaret Müsteşarlığı
DTÖ:	Dünya Ticaret Örgütü
DÜ:	Dicle Üniversitesi
DVD:	bk. SYD (Digital Versatile Disc)
Dz. Kuv.:	Deniz Kuvvetleri 
Dz. Kuv. K.:	Deniz Kuvvetleri Komutanı, Komutanlığı
dzl.:	Düzenleyen
E:	Eczane
EAC:	1. bk. AİBÖ (European Association for Cooperation) 2. bk. DAT (The East African Community)
EADB:	bk. DAKB (East African Development Bank)
EAEC:	bk. AAET (European Atomic Energy Community)
EAGGF:	bk. ATYGF (European Agricultural Guidance and Guarantee Fund)
EAT:	Eski Anadolu Türkçesi
EBK:	Et ve Balık Kurumu Genel Müdürlüğü
EBRD:	bk. AİKB (European Bank for Reconstruction and Development
EBU:	bk. AYB (European Broadcasting Union)
EBWE:	bk. AİKB (European Bank for Reconstruction and Development)
EC:	bk. AT (European Community)
ECB:	bk. AMB (European Central Bank)
ECE:	bk. BMAEK (United Nations Economic Commission for Europe)
ECHR:	bk. AİHM (European Court of Human Rights)
ECJ:	bk. ATAD (European Court of Justice)
ECLA:	bk. LAKEK (The Economic Commission for Latin America and Caribbean)
ECOWAS:	bk. BADET (Economic Community of West African States)
ECSC:	bk. AKÇT (European Coal and Steel Community)
Ecz.:	Eczacı
ed.:	1. Edebiyat 2. Editör
e. :	Edat
EEC:	bk. AET (European Economic Community)
EEG:	Beyin akım grafiği (Elektroensefalogram)
EFT:	Bankalar arası para aktarımı (Electronic fond transfer)
EFTA:	bk. ASTB (European Free Trade Area/Association)
EGM:	Emniyet Genel Müdürlüğü
EGMR:	bk. AİHM (European Court of Human Rights)
EGO:	Ankara Belediyesi Elektrik, Gaz, Otobüs İşletmeleri
EĞİTEK:	Eğitim Teknolojileri Genel Müdürlüğü
EIB:	bk. AYB (European Investment Bank)
EİBKT:	Ekonomik İş Birliği ve Kalkınma Teşkilatı
EİBÖ:	Ekonomik İş Birliği Örgütü
EİEİ:	Elektrik İşleri Etüt İdaresi Genel Müdürlüğü
EKG:	Kalp akım grafiği (Elektrokardiyogram)
ekon.:	Ekonomi
EMG:	Kas akım grafiği (Electromyographie)
EMI:	bk. APE (European Monetary Institute)
EMK:	Elektromotor kuvvet
EMU:	bk. AİPB (European Monetary Union)
Ens.:	Enstitü, enstitüsü
EPA:	bk. APÖ (European Parliamentary Association)
EPDK:	Enerji Piyasası Düzenleme Kurulu
EPU:	bk. AÖB (European Payments Union)
ERDEMİR:	Ereğli Demir Çelik Fabrikaları
ERDF:	bk. ABKF (European Regional Development Fund)
Erm.:	Ermenice
ERÜ:	Erciyes Üniversitesi
ESA:	bk. AUA (European Space Agency)
ESF:	bk. ASF (European Social Fund)
ESGM:	Esnaf ve Sanatkârlar Genel Müdürlüğü
ESHOT:	İzmir Belediyesi Elektrik, Su, Hava Gazı, Otobüs, Tramvay İşletmeleri
ESOGÜ:	Eskişehir Osmangazi Üniversitesi
ET:	Eski Türkçe
ETKB:	Enerji ve Tabii Kaynaklar Bakanlığı
ETOGM:	Erkek Teknik Öğretim Genel Müdürlüğü
EU:	bk. AB (European Union)
EuGH:	bk. ATAD (European Court of Justice)
EURATOM:	bk. AAET (European Atomic Energy Community)
EÜ:	1. Ege Üniversitesi 2. Erzincan Üniversitesi
EÜAŞ:	Elektrik Üretim Anonim Şirketi
EWG:	bk. AET (European Economic Community)
EXİMBANK:	Türkiye İhracat ve Kredi Bankası
f.:	Fiil
F:	Fiyat, fiyatı
FAB:	Federal Araştırma Bürosu
FAC:	bk. YİBF
Fak.:	Fakülte
Fak-Fuk Fon:	Sosyal Yardımlaşma ve Dayanışmayı Teşvik Fonu
FAO:	bk. GTÖ (United Nations Food and Agricultural Organization)
Far.:	Farsça
FBA:	Fransız Basın Ajansı
FBI:	bk. FAB (Federal Bureau of Investigation)
fel.:	Felsefe
FIBA:	bk. UBF (Fédération Internationale de Basketball Association)
FIDE:	bk.USF (Fédération Internationale des Échecs)
FIDES:	bk. İSKYF
FIFA:	bk. UFF (Fédération Internationale de Football Association)
fil.:	Filoloji, filolojisi
FILA:	bk. UAGF (Fédération Internationale des Luttes Associées)
FIR:	Uçuş hattı düzenlemesi (Flight Information Region)
FİSKOBİRLİK:	Fındık Tarım Satış Kooperatifleri Birliği
fiz.:	Fizik
fizy.:	Fizyoloji
FKB:	Fizik, kimya, biyoloji
FM:	Frekans modülasyonu (Frequency Modulation)
FMVIÜ:	Işık Üniversitesi
fob:	Malın belirlenen limanda gemi üzerindeki teslim fiyatı (free on board)
Fr.:	Fransızca
FRB:	bk. AMB (Federal Reserve Bank)
FSMVÜ:	Fatih Sultan Mehmet Vakıf Üniversitesi
FTAA:	bk. ASTB (Free Trade Area of the Americas)
FÜ:	1. Fatih Üniversitesi 2. Fırat Üniversitesi
g:	Gram
G:	Güney
GAMHK:	Güney Avrupa Müttefik Hava Kuvvetleri
GAP:	Güneydoğu Anadolu Projesi
GAPBKİ:	GAP Bölge Kalkınma İdaresi Başkanlığı
GATA:	Gülhane Askerî Tıp Akademisi
GAUT:	Güneydoğu Asya Uluslar Topluluğu
GAZÜ:	Gaziantep Üniversitesi
GB:	1. Bilgisayarda bellek birimi (Gigabyte) 2. Güneybatı 3.Gümrük Birliği
GBT:	Genel Bilgi Taraması
GD:	Güneydoğu
GDAOP:	Güney ve Doğu Afrika Ortak Pazarı
GDZÜ:	Gediz Üniversitesi
Gen.:	General
geom.:	Geometri
GİB:	Gelir İdaresi Başkanlığı
GİGM:	Başbakanlık Güvenlik İşleri Genel Müdürlüğü
gn.:	Genel
Gnkur.:	Genelkurmay
GOÜ:	Gaziosmanpaşa Üniversitesi
Gön.:	Gönderen
gr.:	Gramer
Grt:	Groston
GSGM:	1.Gençlik ve Spor Genel Müdürlüğü 2. Güzel Sanatlar Genel Müdürlüğü
GSM:	Mobil cep telefonu (Global System for Mobile Communications)
GSMH:	Gayrisafi millî hasıla
GSÜ:	Galatasaray Üniversitesi
GSYH:	Gayrisafi yurt içi hasıla
GTÖ:	Gıda ve Tarım Örgütü
GUS:	bk. BDT (Commonwealth of Independent States)
GÜ:	1. Gazi Üniversitesi 2. Giresun Üniversitesi 3. Gümüşhane Üniversitesi
GYD:	Görüntülü yoğun disk
GYTE:	Gebze Yüksek Teknoloji Enstitüsü
GZK:	Gazikent Üniversitesi
H:	1. Hicri 2. Hastane, hastanesi
HA:	Harp Akademisi
HABITAT:	Birleşmiş Milletler İnsan Yerleşimleri Konferansı (Centre for Human Settlements)
HACCP:	Kritik kontrol noktalarında tehlike analizi
HAVAŞ:	Hava Alanları ve Yer Hizmetleri Genel Müdürlüğü
hay. b.:	Hayvan bilimi
haz.:	Hazırlayan
HDD:	Ana bellek sürücüsü (Hard Disk Drive)
hek.:	Hekimlik, hekim, hekimi
HGK:	Harita Genel Komutanlığı
HGM:	Haberleşme Genel Müdürlüğü
HIV:	AIDS hastalığına neden olan virüs (Human Immunodeficiency Virus)
HİTÜ:	Hitit Üniversitesi
HKK:	Hava Kuvvetleri Komutanlığı
hl:	Hektolitre
hlk.:	Halk ağzı
HM:	Hazine Müsteşarlığı
hm:	Hektometre
HMUK:	Hukuk Muhakemeleri Usulü Kanunu
HO:	Harp Okulu
HRÜ:	Harran Üniversitesi
Hs. Uzm.:	Hesap Uzmanı
HSSGM:	Sağlık Bakanlığı Hudut ve Sahiller Sağlık Genel Müdürlüğü
HUK:	Maliye Bakanlığı Hesap Uzmanları Kurulu Başkanlığı
huk.:	Hukuk
HÜ:	Hacettepe Üniversitesi
Hv. Kuv.:	Hava Kuvvetleri
Hv. Kuv. K.:	Hava Kuvvetleri Komutanı, Komutanlığı
Hz. öz.:	Hizmete özel
Hz.:	1. Hazret, Hazreti 2. Hizmet, hizmette
IĞDÜ:	Iğdır Üniversitesi
IAAF:	bk. UAAF (International Amateur Athletic Federation)
IAEA:	bk. UAEA (International Atomic Energy Agency)
IATA:	bk. UHTB (International Air Transport Association)
İAÜ:	İstanbul Aydın Üniversitesi
IBEC:	bk. UEİBB (International Bank for Economic Corporation)
İbr.:	İbranice
IBRD:	bk. UİKB (International Bank for Reconstruction and Development)
İBÜ:	İstanbul Bilim Üniversitesi
İBÜN:	İstanbul Bilgi Üniversitesi
ICAO:	bk. USHÖ (International Civil Aviation Organization)
ICC:	bk. UTO (International Chambers of Commerce)
ICIC:	bk. UHİK (Islamic Committee of the International Crescent)
ICJ:	bk. UAD (International Court of Justice)
ICRC:	bk. UKK (International Committee of the Red Cross)
ICSID:	bk. UYAÇM (International Center of the Settlement of Investment Disputes)
IDA:	bk. UKA (International Development Agency)
IDB:	bk. İKB (Islamic Development Bank)
İDBÜ:	İhsan Doğramacı Bilkent Üniversitesi
İDT:	İktisadi Devlet Teşekkülleri
IEA:	bk. UEA (International Energy Agency)
İEGM:	İlaç ve Eczacılık Genel Müdürlüğü
İETT:	İstanbul Elektrik, Tünel, Tramvay İşletmesi
İEÜ:	İzmir Ekonomi Üniversitesi
IFAD:	bk. UTKF (International Fund for Agricultural Development)
IFC:	bk. UFK (International Finance Corporation)
IFOAM:	bk. UETHF (International Federation of Organic Agriculture Movements)
İGB:	Başbakanlık İdareyi Geliştirme Başkanlığı
İGEME:	İhracatı Geliştirme Etüd Merkezi
IGH:	bk. UAD (International Court of Justice)
İGM:	İlköğretim Genel Müdürlüğü
İHB:	İnsan Hakları Başkanlığı
İKB:	İslam Kalkınma Bankası
İKBÜ:	İstanbul Kemerburgaz Üniversitesi
İKÖ:	İslam Konferansı Örgütü
İKÜ:	İstanbul Kültür Üniversitesi
İKV:	İktisadi Kalkınma Vakfı
İLBANK:	İller Bankası Genel Müdürlüğü
ILO:	bk. UÇÖ (International Labor Organization)
IMF:	bk. UPF (International Monetary Fund)
İMKB:	İstanbul Menkul Kıymetler Borsası
IMO:	bk. UDÖ (International Maritime Organization)
İng.:	İngilizce
INTERPOL:	Uluslararası Cinayet Polisi Komisyonu (International Criminal Police Commission)
İO:	İlköğretim okulu
IOC:	bk. UOK (International Olympic Committee)
IPI:	bk. UBE (International Press Institute)
IRO:	bk. UMT (International Refugee Organization)
is.:	İsim
ISBN:	Uluslararası standart kitap numarası (International Standard Book Number)
İSDEMİR:	İskenderun Demir Çelik Fabrikaları
İSEDAK:	İslam Konferansı Örgütü Ekonomik ve Ticari İş Birliği Daimî Komitesi
İSG:	İş Sağlığı ve Güvenliği Genel Müdürlüğü
İSKİ:	İstanbul Su ve Kanalizasyon İdaresi
İSKYF:	İktisadi ve Sosyal Kalkınma Yatırım Fonları
ISMN:	Uluslararası standart müzik numarası (International Standard Music Number)
ISO:	bk. USÖ (International Organization for Standardization)
İSO:	İstanbul Sanayi Odası
İsp.:	İspanyolca
ISSN:	Uluslararası standart dizi numarası (International Standard Serial Number)
İŞKUR:	Türkiye İş Kurumu
işl.:	İşleyen
İŞOT:	İstanbul Şehirler Arası Otobüs Terminali
İt.:	İtalyanca
İTB:	İstanbul Ticaret Borsası
ITC:	bk. UTM (International Trade Center)
İTG:	İç Ticaret Genel Müdürlüğü
İTİCÜ:	İstanbul Ticaret Üniversitesi
ITO:	Birleşmiş Milletler Uluslararası Ticaret Birliği (International Trade Organization)
İTO:	İstanbul Ticaret Odası
İTÜ:	İstanbul Teknik Üniversitesi
İÜ:	1. İnönü Üniversitesi 2. İstanbul Üniversitesi
IWF:	bk. UPF (International Monetary Fund)
İYTE:	İzmir Yüksek Teknoloji Enstitüsü
İZTB:	İzmir Ticaret Borsası
İZTO:	İzmir Ticaret Odası
İZÜ:	İzmir Üniversitesi
J:	Jandarma
JAL:	bk. JHY (Japan Airlines)
Jap.:	Japonca
jeol.:	Jeoloji
JGK:	Jandarma Genel Komutanlığı
JHY:	Japon Hava Yolları (Japan Airlines)
K:	1. Kuzey 2. Komutan, komutanlığı
kal:	Kalori
KARDEMİR:	Karabük Demir Çelik Fabrikaları
KASTB:	Kuzey Amerika Serbest Ticaret Bölgesi
KAÜ:	Kafkas Üniversitesi
KB:	Kuzeybatı
KBB:	Kulak, Burun, Boğaz
KBÜ:	Karabük Üniversitesi
KD:	Kuzeydoğu
KDV:	Katma değer vergisi
KED:	Kablosuz Erişim Düzeneği
KEGM:	Kıyı Emniyeti Genel Müdürlüğü
KEİ:	Karadeniz Ekonomik İş Birliği
KEYK:	Karşılıklı Ekonomik Yardım Konseyi
kg:	Kilogram
KGB:	Sovyet Gizli Haber Alma Teşkilatı (Komitet Gossudarrstvennoi Bezopastnosti)
KGM:	Adalet Bakanlığı Kanunlar Genel Müdürlüğü
KHK:	Kanun hükmünde kararname
KHÜ:	Kadir Has Üniversitesi
KHz:	Kilohertz
KİBİB:	Kalkınma İçin Bölgesel İş Birliği
KİK:	1. Kamu İhale Kurumu 2. Kamu İktisadi Kuruluşları
kim.:	Kimya
KİT:	Kamu İktisadi Teşekkülü
KİYÜ:	Kilis 7 Aralık Üniversitesi
KKB:	Karayip Kalkınma Bankası
KKGM:	Tarım ve Köyişleri Bakanlığı Koruma ve Kontrol Genel Müdürlüğü
KKK:	Kara Kuvvetleri Komutanlığı
KKTC:	Kuzey Kıbrıs Türk Cumhuriyeti
KLÜ:	Kırklareli Üniversitesi
km:	Kilometre
KMS:	Kurumlar İçi Merkezî Eleme Sınavı
KMÜ:	Karamanoğlu Mehmetbey Üniversitesi
